name,formula,cas_number,molecular_weight
Water,H2O,7732-18-5,18.015
Methanol,CH3OH,67-56-1,32.04
Ethanol,C2H5OH,64-17-5,46.07
Benzene,C6H6,71-43-2,78.11
Toluene,C7H8,108-88-3,92.14
Acetone,C3H6O,67-64-1,58.08
Ethylene,C2H4,74-85-1,28.05
Propylene,C3H6,115-07-1,42.08
Butane,C4H10,106-97-8,58.12
Pentane,C5H12,109-66-0,72.15
Hexane,C6H14,110-54-3,86.18
Heptane,C7H16,142-82-5,100.21
Octane,C8H18,111-65-9,114.23
Methane,CH4,74-82-8,16.04
Ethane,C2H6,74-84-0,30.07
Propane,C3H8,74-98-6,44.10
Nitrogen,N2,7727-37-9,28.01
Oxygen,O2,7782-44-7,32.00
Carbon Dioxide,CO2,124-38-9,44.01
Hydrogen,H2,1333-74-0,2.016
Ammonia,NH3,7664-41-7,17.03
